tdg
time,|TSS|,sol
170.02215886116028,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
165.9420244693756,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
164.05695390701294,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
166.8425178527832,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
165.29594683647156,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
164.9293236732483,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
168.05815768241882,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
167.2088041305542,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
171.3673574924469,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
164.64848589897156,437,7020&1282&1304&3366&5604&1219&5246&5561&3581&4698&558&5685&4805&4951&2510&2492&4639&1303&6365&5915&5872&2574&1231&1513&2667&488&247&4471&909&6471&3434&5111&1436&4740&7487&178&983&292&3868&1194&7818&543&234&27&1273&5510&1864&4132&4748&5764&3307&2781&4823&2577&6997&1359&5530&7671&2613&4228&3436&341&6954&2429&1154&4251&215&8286&1729&3080&4330&6845&4194&6101&2149&6361&2437&2625&3221&3121&4835&1441&6499&4566&2881&6061&6144&5478&5100&694&3536&588&219&7262&1207&3906&2485&3041&1330&6163&5114&1884&529&1538&3559&2638&7503&8246&4690&6494&2487&6446&3006&5077&6262&2516&4043&858&889&5126&5501&7117&1647&307&688&195&6448&7886&1119&1311&6231&2704&1246&3713&1268&4161&6331&4183&1388&5147&3112&1617&1974&569&6524&1116&5032&43&2539&2537&353&3019&7849&4532&1281&1946&1697&1981&7757&4611&2528&5610&2302&175&1157&2115&3349&7943&111&3645&3966&5609&915&1414&1628&2789&112&4971&3936&1886&200&5680&1537&3419&1581&1753&6534&3214&1604&5812&1392&7378&2722&5522&8330&5157&2171&6115&988&1791&0&3718&272&7941&916&1547&850&1627&3156&408&2893&404&446&4749&5105&5227&2336&880&6893&8087&1730&4949&2452&2665&11&350&5885&4961&1989&6739&315&824&3022&2173&6490&8534&2824&434&221&3258&452&7623&3071&4937&2301&2558&1427&2217&369&2823&3851&3417&4986&4352&54&6074&88&2343&7543&2222&6531&417&1384&2641&4293&4268&4894&2408&284&1732&2725&7125&426&2936&507&198&3636&2552&2158&2649&6861&3859&89&1458&532&337&1266&4151&1792&148&7279&6073&2081&3275&6216&3927&5565&4670&3623&1945&2986&815&2686&3120&1205&3128&3658&2190&3533&7421&5704&5683&157&1731&7658&191&887&2360&1992&4692&3673&4630&1583&2612&169&1121&6321&499&6076&1990&2826&3579&1985&173&553&3126&327&5780&139&4525&1016&1674&8066&159&4216&3104&698&2590&6892&5859&4745&1618&5355&2654&7154&3857&1942&3668&1701&964&6964&2817&730&1527&905&806&7578&2423&244&6657&1540&854&4103&870&7838&2057&420&2861&2771&785&679&1828&4322&5430&1111&4092&687&2002&5174&4850&7354&2415&5816&7197&2499&1807&1024&248&512&5409&5631&80&719&903&2598&5326&5056&6714&2713&3475&1656&1290&4901&6141&3139&5483&3288&7765&1247&1935&1228&6836&1437&3402&2902&115&6221&4744&1431&7203&6606&3356&4479&7001&3740&5825&3648
