best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
best_fit=30, k=22
