best_fit=49, k=49
best_fit=48, k=48
best_fit=48, k=48
best_fit=48, k=48
best_fit=46, k=46
best_fit=45, k=45
best_fit=42, k=42
best_fit=42, k=42
best_fit=42, k=42
best_fit=41, k=41
best_fit=40, k=40
best_fit=39, k=39
best_fit=38, k=38
best_fit=38, k=38
best_fit=38, k=38
best_fit=38, k=35
best_fit=38, k=33
best_fit=38, k=33
best_fit=38, k=33
best_fit=38, k=33
best_fit=38, k=33
best_fit=38, k=33
best_fit=38, k=33
best_fit=38, k=32
best_fit=38, k=32
best_fit=38, k=32
best_fit=38, k=32
best_fit=38, k=31
best_fit=38, k=31
best_fit=38, k=31
best_fit=38, k=30
best_fit=38, k=30
best_fit=38, k=29
best_fit=38, k=29
best_fit=38, k=29
best_fit=38, k=29
best_fit=38, k=29
best_fit=38, k=29
best_fit=38, k=29
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=28
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=27
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
best_fit=38, k=26
